"STATION NAME", "REGION", "CITY"
"BUENOS AIRES OBSERV, AR", "ARGENTINA", "BUENOS AIRES"
"MELBOURNE AIRPORT, AS", "AUSTRALIA", "MELBOURNE"
"SAO PAULO AEROPORT, BR", "BRAZIL", "SAO PAULO"
"TORONTO CITY, ON CA", "CANADA", "TORONTO CITY"
"LA SERENA, CI", "CHILE", "LA SERENA"
"PARIS MONTSOURIS, FR", "FRANCE", "PARIS"
"HAMBURG FUHLSBUETTEL, GM", "GERMANY", "HAMBURG"
"MAKEDONIA, GR", "GREECE", "MACEDONIA"
"MEXICO CITY, MX", "MEXICO", "MEXICO CITY"
"SEOUL CITY, KS", "SOUTH KOREA", "SEOUL"
"MADRID GETAFE, SP", "SPAIN", "MADRID"
"KIEV, UP", "UKRAINE", "KIEV"
"ARTURO MICHELENA INTERNATIONAL, VE", "VENEZUELA"
"", "JAPAN", "TOKYO"
"", "SPAIN", "VALENCIA"
"", "UNITED STATES", "DALLAS"
"", "UNITED STATES", "MIAMI"
"", "UNITED STATES", "NEW YORK CITY"
"", "UNITED STATES", "MAUI"
"", "UNITED STATES", "PHILADELPHIA"
"", "UNITED STATES", "SAN DIEGO"
"", "AFRICA", "KEETMANSHOOP"
